"n","a","x","x",3,1,7,6,"m"
"y","a","x","x",3,2,1,7,6
"n","a","x","x",4,3,1,6,6
"n","a","x","x",3,1,1,11,6
"n","a","x","x",3,2,1,7,6
"y","b",6,"x","x",3,1,6,6
"n","b",6,"x","x",4,3,1,7
"n","b",7,"x","x",3,2,1,11
"n","b",1,"x","x",7,7,7,1
"n","b",6,"x","x",3,11,8,7
"n","c","m","m","x","x",3,1,6
"y","c",7,6,"x","x",3,1,7
"n","c",6,6,"x","x",3,2,8
"n","c",8,6,"x","x",4,3,1
"n","d",6,6,"m","x","x",3,1
"y","d",11,6,6,"x","x",4,3
"n","d",1,7,6,"x","x",3,3
"n","d",1,7,6,"x","x",3,2
"n","d",1,7,6,"x","x",3,2
"n","e","m","m","m","m","x","x","m"
"n","e","m","m","m","m","x","x","m"
"n","e",2,8,6,"m","x","x",3
"y","e",1,7,7,6,"x","x",4
"n","f",3,1,1,6,"m","x","x"
"n","f",3,2,7,6,"m","x","x"
"n","f",3,11,9,9,9,"x","x"
"n","f",4,3,1,11,6,"x","x"
"n","f",3,3,1,6,6,"x","x"
"y","g","x",1,7,7,6,"m","x"
"n","g","x",1,6,6,"m","m","x"
"n","g","x",1,1,7,6,"m","x"
"n","g","x",4,3,1,7,6,"x"
"n","g","x",3,2,1,6,6,"x"
"y","g","x",3,11,8,8,7,"x"
