OS,n,a,x,x,3,1,7,6,m
GH,n,a,x,x,4,3,1,7,6
EL,n,a,x,x,4,3,1,6,6
MF,y,a,x,x,3,1,1,6,6
LC,y,b,6,x,x,4,2,7,6
RY,n,b,6,x,x,4,3,1,7
LS,n,b,6,x,x,3,3,1,1
HI,n,b,1,x,x,7,7,1,1
RJ,n,b,6,x,x,3,1,8,7
PL,n,c,m,m,x,x,3,1,6
RF,n,c,1,6,x,x,3,1,7
CJ,y,c,6,6,x,x,4,2,8
JF,n,c,7,6,x,x,4,3,2
LK,n,d,6,6,m,x,x,3,1
CQ,n,d,1,7,6,x,x,4,3
DT,n,d,1,7,6,x,x,4,3
CP,n,d,2,7,6,x,x,3,3
MN,y,d,7,6,6,x,x,3,1
XV,n,e,m,m,m,m,x,x,m
SK,n,e,m,m,m,m,x,x,m
ND,n,e,1,7,6,m,x,x,4
EP,y,e,2,1,1,6,x,x,4
ZZ,n,f,3,1,6,6,m,x,x
SR,n,f,3,2,7,6,m,x,x
MR,n,f,3,1,8,8,8,x,x
PG,n,f,4,3,1,7,6,x,x
DA,n,f,4,4,2,1,6,x,x
AR,n,f,3,2,1,7,6,x,x
CL,y,g,x,8,7,6,6,m,x
LI,n,g,x,1,7,6,m,m,x
FY,n,g,x,3,1,1,6,m,x
RA,n,g,x,4,3,2,1,6,x
VB,n,g,x,1,1,1,6,6,x
JT,y,g,x,3,1,8,8,7,x
RZ,n,g,x,3,3,1,6,6,x
